yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender,id
No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,-3,61,Every three months,Female,0
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+2,51,Every three months,Female,1
No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,+1,62,Every three months,Female,2
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+4,69,Once a week,Female,3
No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,+2,49,Once a month,Male,4
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,55,Every three months,Male,5
Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,+2,56,Every three months,Female,6
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,23,Once a week,Female,7
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,58,Once a year,Male,8
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,32,Every three months,Female,9
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-2,53,Every three months,Female,10
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+3,28,Once a month,Male,11
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,65,Every three months,Male,12
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,54,Once a month,Male,13
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,67,Once a month,Male,14
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,51,Once a month,Male,15
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,34,Once a month,Female,16
Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,+2,31,Once a month,Male,17
No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,-4,47,Every three months,Female,18
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I love it!+5,37,More than once a week,Male,19
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+2,41,Once a year,Female,20
Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,+2,36,Once a month,Male,21
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,-2,23,Once a week,Female,22
Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,I love it!+5,50,More than once a week,Female,23
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,39,Every three months,Female,24
Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,0,35,Every three months,Female,25
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,20,Every three months,Male,26
No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,0,34,Once a month,Female,27
No,Yes,No,No,No,Yes,No,No,No,No,No,0,55,Every three months,Male,28
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,24,Every three months,Female,29
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,44,Once a month,Male,30
No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,40,Once a month,Female,31
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,55,Once a month,Male,32
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,37,Never,Male,33
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,48,Once a week,Male,34
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,54,Every three months,Female,35
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,38,Every three months,Female,36
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,49,Every three months,Female,37
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,35,Never,Female,38
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,55,Once a year,Male,39
Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,+2,31,Once a year,Male,40
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,57,More than once a week,Male,41
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,69,More than once a week,Male,42
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,37,Every three months,Female,43
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,60,Never,Male,44
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+2,36,Once a month,Male,45
No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,+1,54,Every three months,Male,46
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,66,Once a month,Male,47
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,32,Once a month,Female,48
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,67,Once a year,Male,49
No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,42,Once a week,Female,50
Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,26,Once a month,Female,51
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,58,Once a year,Female,52
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,48,Once a month,Male,53
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,54,Once a month,Female,54
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,62,Once a year,Male,55
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,52,Once a year,Female,56
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,53,Every three months,Male,57
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,47,More than once a week,Male,58
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,26,Once a month,Female,59
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,I love it!+5,29,Once a week,Female,60
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+3,24,Once a week,Male,61
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,25,Once a week,Female,62
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,54,Once a month,Male,63
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,23,Once a month,Female,64
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,0,34,Never,Female,65
No,Yes,No,No,No,No,No,No,Yes,No,No,+1,47,Every three months,Male,66
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+3,22,Once a week,Male,67
No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,0,47,Once a year,Male,68
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,56,Once a month,Male,69
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-1,55,Every three months,Male,70
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,56,Every three months,Female,71
No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,0,56,Every three months,Female,72
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,37,Every three months,Female,73
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,50,Once a week,Female,74
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-1,40,Every three months,Male,75
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,61,Once a week,Male,76
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-2,55,Every three months,Male,77
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,45,Once a year,Female,78
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+1,42,Once a month,Male,79
No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,+2,52,Every three months,Male,80
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,58,Once a year,Female,81
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,48,Once a month,Male,82
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,58,Once a week,Male,83
No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-3,18,Once a year,Male,84
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+4,68,Once a month,Female,85
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,+1,49,Once a month,Female,86
No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,I hate it!-5,50,Once a week,Female,87
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,43,Every three months,Female,88
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,+4,67,Every three months,Male,89
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,40,Once a week,Female,90
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,I hate it!-5,35,Never,Male,91
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,42,Every three months,Female,92
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,41,Every three months,Female,93
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,32,Once a month,Male,94
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+3,21,Once a month,Female,95
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,56,Once a week,Female,96
No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,+2,27,Every three months,Male,97
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,48,Once a year,Female,98
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,32,Once a week,Male,99
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+3,50,Once a month,Male,100
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,42,Once a year,Female,101
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I love it!+5,35,More than once a week,Male,102
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+4,57,Once a month,Female,103
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,68,Once a month,Male,104
