transaction_id,item_name
1,Чизбургер
1,Сметана
1,Коктейль (ваниль)
1,Чикенбургер
2,Чизбургер
2,Наггетсы
2,Вода с газом 500 мл
2,Коктейль (банан)
2,Коктейль (ваниль)
2,Сырный соус
2,Вода без газа 500 мл
2,Картофель фри 200 гр
2,Кетчуп
3,Картофель фри 300 гр
3,Чизбургер
3,Кола
3,Супер Комбо Обед
3,Чесночный соус
3,Вода с газом 500 мл
3,Коктейль (ваниль)
3,Сырный соус
3,Вода без газа 500 мл
4,Цезарь
4,Вода с газом 500 мл
4,Стрипсы
5,Кола
5,Греческий салат
5,Чикенбургер
5,Вода с газом 500 мл
5,Вода без газа 500 мл
5,Морковные палочки
6,Кола
6,Супер Комбо Обед
6,Ролл-цезарь
6,Греческий салат
6,Коктейль (ваниль)
6,Кетчуп
7,Сметана
7,Коктейль (ваниль)
7,Картофель фри 200 гр
7,Морковные палочки
7,Кетчуп
8,Кола
8,Чикенбургер
8,Сырный соус
8,Вода без газа 500 мл
8,Картофель фри 200 гр
8,Морковные палочки
8,Кетчуп
9,Цезарь
9,Сметана
9,Вода с газом 500 мл
9,Коктейль (банан)
10,Картофель фри 300 гр
10,Наггетсы
10,Сырный соус
11,Наггетсы
11,Коктейль (банан)
11,Вода без газа 500 мл
11,Картофель фри 200 гр
11,Кетчуп
12,Наггетсы
12,Кола
12,Греческий салат
12,Чесночный соус
12,Сметана
12,Вода с газом 500 мл
12,Морковные палочки
13,Кола
13,Коктейль (банан)
13,Сырный соус
13,Кетчуп
14,Вода без газа 500 мл
14,Сметана
14,Греческий салат
14,Коктейль (ваниль)
15,Вода без газа 500 мл
15,Супер Комбо Обед
15,Вода с газом 500 мл
15,Кетчуп
16,Картофель фри 300 гр
16,Цезарь
16,Вода с газом 500 мл
16,Сырный соус
17,Наггетсы
17,Цезарь
17,Ролл-цезарь
17,Чесночный соус
17,Сметана
17,Сырный соус
18,Картофель фри 200 гр
18,Кола
18,Кетчуп
19,Чизбургер
19,Кола
19,Чикенбургер
19,Супер Комбо Обед
20,Чизбургер
20,Супер Комбо Обед
20,Сметана
20,Коктейль (ваниль)
20,Кетчуп
21,Ролл-цезарь
21,Греческий салат
21,Сметана
21,Коктейль (ваниль)
21,Сырный соус
21,Вода без газа 500 мл
22,Морковные палочки
22,Греческий салат
22,Сырный соус
22,Вода с газом 500 мл
23,Чизбургер
23,Картофель фри 200 гр
23,Сырный соус
23,Кетчуп
24,Наггетсы
24,Чесночный соус
24,Коктейль (банан)
25,Наггетсы
25,Чизбургер
25,Кола
25,Супер Комбо Обед
25,Коктейль (банан)
25,Морковные палочки
26,Наггетсы
26,Греческий салат
26,Чесночный соус
26,Сметана
26,Сырный соус
26,Морковные палочки
26,Кетчуп
27,Кола
27,Кетчуп
28,Чесночный соус
28,Сметана
28,Вода с газом 500 мл
28,Сырный соус
28,Стрипсы
28,Кетчуп
29,Цезарь
29,Кола
29,Греческий салат
29,Сметана
29,Вода с газом 500 мл
29,Морковные палочки
30,Чизбургер
30,Кола
30,Супер Комбо Обед
30,Вода с газом 500 мл
30,Коктейль (ваниль)
31,Картофель фри 300 гр
31,Сырный соус
31,Чикенбургер
31,Супер Комбо Обед
32,Чизбургер
32,Цезарь
32,Супер Комбо Обед
32,Сметана
32,Вода с газом 500 мл
32,Сырный соус
32,Кетчуп
33,Вода без газа 500 мл
33,Чесночный соус
33,Стрипсы
33,Супер Комбо Обед
34,Картофель фри 300 гр
34,Цезарь
34,Кола
34,Супер Комбо Обед
34,Сырный соус
34,Стрипсы
35,Картофель фри 300 гр
35,Кола
35,Чикенбургер
35,Сырный соус
35,Стрипсы
36,Чизбургер
36,Картофель фри 200 гр
36,Кола
36,Супер Комбо Обед
37,Чизбургер
37,Кола
37,Греческий салат
37,Чикенбургер
37,Вода без газа 500 мл
37,Морковные палочки
38,Чизбургер
38,Цезарь
38,Супер Комбо Обед
38,Сметана
38,Вода с газом 500 мл
38,Коктейль (ваниль)
38,Вода без газа 500 мл
39,Вода без газа 500 мл
39,Вода с газом 500 мл
40,Картофель фри 300 гр
40,Наггетсы
40,Кола
40,Сметана
40,Коктейль (банан)
40,Сырный соус
40,Картофель фри 200 гр
40,Кетчуп
41,Кола
