user_id,item_id,relevance
846,34,3
124,52,3
414,6,3
725,2,3
172,15,3
288,17,4
435,16,3
686,28,4
113,85,4
888,72,3
122,10,3
222,114,3
631,10,3
39,73,3
497,28,3
233,19,3
530,97,3
149,68,3
661,67,3
638,42,4
302,12,3
360,18,3
238,23,4
647,84,4
663,6,4
736,98,4
203,42,4
256,66,3
598,30,3
662,9,3
235,91,4
860,40,4
797,88,2
781,113,3
770,29,4
541,100,3
213,50,3
436,95,3
283,49,4
562,73,3
607,61,3
407,46,4
88,46,4
44,17,4
461,66,4
278,104,5
683,5,4
421,103,4
701,54,4
696,16,3
515,81,3
703,118,4
630,91,3
19,7,3
23,116,4
30,72,3
807,87,4
108,96,3
367,107,3
128,82,4
229,38,2
136,76,4
186,92,4
656,119,4
129,50,4
876,56,4
515,116,2
900,8,3
104,110,4
483,19,3
224,51,3
832,72,4
874,98,4
866,57,4
491,68,3
473,31,3
10,102,3
302,83,3
231,43,2
731,29,4
112,12,4
13,46,3
393,30,3
500,94,4
598,82,3
234,88,4
602,32,3
314,73,4
566,47,4
12,88,3
14,26,4
633,3,4
418,23,3
437,75,3
377,74,3
20,50,2
587,36,4
755,13,4
70,38,2
824,117,3
101,90,3
698,84,3
132,5,4
623,20,4
381,78,3
132,109,4
20,14,3
536,8,4
227,48,3
154,13,2
805,24,4
469,115,4
822,65,4
871,86,3
202,114,4
38,51,3
772,104,3
188,3,3
57,119,3
20,90,3
273,78,4
119,58,4
516,72,4
221,113,4
515,119,3
728,120,3
741,80,3
336,42,2
698,21,3
500,57,4
900,25,3
888,56,4
766,38,4
536,86,4
162,113,4
594,112,4
159,47,3
188,54,4
60,46,3
817,68,5
319,4,5
878,94,4
664,43,2
109,62,3
76,100,3
542,85,4
314,85,3
117,112,3
868,85,4
704,4,4
19,65,4
685,90,3
350,115,4
183,2,4
113,9,3
183,119,4
481,57,3
146,45,3
831,18,2
628,112,4
113,48,4
763,42,3
476,41,4
763,75,3
825,90,4
118,58,3
813,100,4
161,42,3
401,35,3
198,38,3
260,67,4
660,41,4
47,50,3
559,72,3
124,45,4
75,71,3
871,19,4
602,106,3
400,17,4
837,65,3
505,109,3
500,93,4
573,77,4
771,93,4
619,41,4
625,42,4
862,6,4
254,69,4
630,98,3
849,73,3
877,102,3
563,40,4
426,9,3
547,8,4
302,44,4
581,58,3
349,104,3
832,67,3
49,13,3
74,19,3
704,98,4
356,49,4
582,80,2
602,100,3
260,82,4
638,78,3
743,30,3
641,77,3
792,91,4
612,53,3
809,81,4
182,31,3
686,15,4
188,7,4
569,18,4
596,75,4
664,96,3
548,114,4
725,91,2
408,90,4
876,101,3
618,45,4
414,28,3
342,50,4
220,2,4
163,84,4
220,68,3
270,77,4
848,112,3
400,102,4
182,104,3
618,48,3
729,45,3
582,93,3
556,58,3
841,36,3
813,2,4
696,18,2
619,49,4
596,8,3
850,58,3
250,15,4
533,23,3
196,66,3
690,70,4
70,27,3
639,37,4
672,64,4
760,34,3
203,18,4
148,64,4
472,106,4
655,74,4
426,44,4
666,17,3
492,59,4
888,13,4
165,42,3
314,91,4
21,64,4
82,117,3
581,66,4
131,34,4
599,95,2
730,87,3
305,71,3
857,64,4
853,33,3
384,12,4
425,76,3
161,19,4
178,9,3
629,74,4
708,17,3
490,104,2
598,41,4
289,10,3
593,12,3
664,79,2
573,95,3
573,15,3
354,28,3
28,4,4
43,36,3
681,119,4
598,108,3
177,98,4
529,47,4
610,81,4
198,38,4
610,44,2
842,97,3
853,85,3
22,36,4
112,69,3
57,97,4
842,53,3
144,37,3
880,2,4
435,117,3
637,69,3
679,90,4
86,41,3
588,51,3
344,117,4
294,47,4
611,69,4
704,66,3
243,59,3
831,68,3
561,59,3
277,117,3
154,13,3
383,108,2
878,90,4
884,15,3
655,57,5
376,10,4
213,104,3
726,79,3
628,77,5
