user_id,age,income_level
1,56,medium
2,46,high
3,32,low
4,60,medium
5,25,low
6,38,medium
7,56,medium
8,36,medium
9,40,medium
10,28,medium
11,28,medium
12,41,medium
13,53,medium
14,57,medium
15,41,medium
16,20,medium
17,39,medium
18,19,high
19,41,medium
20,61,low
21,47,medium
22,55,medium
23,19,high
24,38,low
25,50,low
26,29,medium
27,39,medium
28,61,high
29,42,low
30,44,high
31,59,low
32,45,high
33,33,low
34,32,low
35,64,medium
36,61,high
37,20,high
38,54,medium
39,24,high
40,38,low
41,26,high
42,56,medium
43,35,medium
44,21,high
45,42,medium
46,31,medium
47,26,medium
48,43,high
49,19,low
50,37,high
51,45,medium
52,64,low
53,24,medium
54,61,medium
55,25,medium
56,64,medium
57,52,low
58,31,medium
59,34,high
60,53,medium
61,57,medium
62,21,medium
63,19,medium
64,23,medium
65,59,medium
66,21,low
67,46,medium
68,35,low
69,43,low
70,61,low
71,51,low
72,27,medium
73,53,medium
74,31,medium
75,48,low
76,32,high
77,25,medium
78,31,medium
79,40,high
80,57,high
81,38,low
82,33,medium
83,62,high
84,35,medium
85,64,low
86,41,medium
87,43,high
88,42,medium
89,62,medium
90,58,high
91,46,low
92,32,low
93,62,medium
94,18,high
95,42,medium
96,24,medium
97,26,medium
98,41,medium
99,18,medium
100,61,high
101,25,medium
102,41,medium
103,28,medium
104,34,medium
105,25,medium
106,52,medium
107,52,medium
108,50,low
109,22,low
110,59,medium
111,56,medium
112,58,medium
113,45,medium
114,24,medium
115,26,low
116,25,high
117,29,medium
118,51,medium
119,50,medium
120,40,high
121,41,medium
122,54,medium
123,52,medium
124,61,low
125,57,low
126,39,medium
127,44,medium
128,52,medium
129,18,low
130,52,medium
131,54,medium
132,64,medium
133,31,medium
134,20,medium
135,18,medium
136,22,medium
137,43,medium
138,31,medium
139,56,low
140,44,medium
141,26,medium
142,32,medium
143,32,medium
144,43,high
145,59,high
146,30,medium
147,49,low
148,56,medium
149,49,low
150,21,medium
151,47,high
152,54,low
153,40,low
154,56,low
155,62,medium
156,32,medium
157,60,low
158,46,high
159,53,medium
160,30,low
161,49,medium
162,24,medium
163,39,medium
164,45,low
165,19,low
166,59,low
167,62,high
168,23,high
169,45,low
170,45,low
171,61,low
172,61,low
173,37,high
174,47,medium
175,28,medium
176,45,low
177,42,medium
178,56,medium
179,50,medium
180,18,low
181,44,medium
182,30,medium
183,58,low
184,20,medium
185,56,high
186,23,high
187,25,medium
188,44,medium
189,26,high
190,54,medium
191,50,low
192,59,high
193,61,low
194,41,medium
195,32,low
196,49,low
197,49,medium
198,41,medium
199,58,low
200,29,low
201,56,low
202,19,medium
203,20,high
204,54,medium
205,34,medium
206,19,high
207,19,medium
208,45,low
209,40,low
210,54,medium
211,49,medium
212,50,medium
213,18,medium
214,36,medium
215,19,medium
216,61,medium
217,43,medium
218,49,high
219,23,medium
220,49,low
221,21,medium
222,28,medium
223,34,medium
224,55,medium
225,41,medium
226,22,medium
227,51,low
228,23,medium
229,39,low
230,28,medium
231,33,low
232,50,high
233,26,medium
234,23,high
235,33,high
236,46,high
237,20,high
238,37,medium
239,53,medium
240,36,low
241,43,low
242,20,medium
243,36,medium
244,37,medium
245,49,medium
246,24,high
247,58,medium
248,50,medium
249,57,high
250,56,high
251,35,medium
252,57,high
253,18,high
254,28,high
255,45,low
256,42,medium
257,40,medium
258,48,low
259,47,medium
260,59,medium
261,52,high
262,24,low
263,33,high
264,43,medium
265,19,medium
266,18,high
267,29,medium
268,22,medium
269,54,high
270,49,medium
271,26,low
272,58,high
273,52,medium
274,36,medium
275,33,medium
276,20,high
277,37,low
278,41,high
279,50,medium
280,41,low
281,28,medium
282,25,high
283,53,medium
284,55,low
285,57,medium
286,37,medium
287,52,medium
288,42,medium
289,52,medium
290,42,low
291,46,medium
292,35,medium
293,63,low
294,35,high
295,19,medium
296,52,medium
297,33,high
298,58,medium
299,53,high
300,50,medium
301,21,low
302,50,medium
303,31,medium
304,38,medium
305,37,low
306,25,low
307,24,low
308,20,low
309,34,medium
310,50,low
311,29,medium
312,39,medium
313,39,medium
314,63,high
315,47,medium
316,55,medium
317,55,medium
318,62,medium
319,25,high
320,44,low
321,44,low
322,51,medium
323,38,low
324,47,high
325,50,medium
326,45,high
327,64,medium
328,50,medium
329,22,high
330,36,medium
331,21,high
332,52,low
333,34,medium
334,61,low
335,45,medium
336,47,low
337,46,high
338,63,high
339,23,high
340,52,low
341,58,medium
342,54,medium
343,41,medium
344,46,medium
345,63,medium
346,48,medium
347,52,medium
348,50,medium
349,38,low
350,49,low
351,40,low
352,50,high
353,20,low
354,35,low
355,42,medium
356,59,high
357,48,high
358,20,medium
359,57,medium
360,63,medium
361,41,low
362,49,high
363,64,medium
364,39,medium
365,40,medium
366,19,medium
367,44,medium
368,59,high
369,19,high
370,43,medium
371,34,medium
372,57,low
373,50,medium
374,26,low
375,60,medium
376,56,high
377,46,medium
378,59,medium
379,43,medium
380,52,low
381,42,medium
382,41,low
383,30,low
384,24,medium
385,53,medium
386,62,medium
387,37,low
388,18,medium
389,25,medium
390,63,medium
391,33,medium
392,31,medium
393,29,medium
394,40,medium
395,32,high
396,45,medium
397,51,medium
398,19,medium
399,49,medium
400,40,high
401,39,medium
402,42,medium
403,39,medium
404,39,medium
405,59,medium
406,23,high
407,32,medium
408,60,medium
409,54,high
410,50,low
411,25,low
412,61,medium
413,61,high
414,22,low
415,56,low
416,21,low
417,23,low
418,62,low
419,49,medium
420,47,medium
421,64,low
422,52,medium
423,57,low
424,33,medium
425,30,medium
426,59,medium
427,47,low
428,36,medium
429,34,low
430,36,high
431,45,medium
432,43,medium
433,54,low
434,43,high
435,40,low
436,26,low
437,29,medium
438,18,low
439,18,high
440,64,medium
441,51,low
442,49,medium
443,42,high
444,57,high
445,62,medium
446,18,high
447,33,high
448,56,medium
449,22,low
450,39,medium
451,46,high
452,20,low
453,29,high
454,43,low
455,33,low
456,54,medium
457,39,low
458,46,high
459,31,high
460,45,high
461,22,medium
462,64,low
463,47,medium
464,63,medium
465,22,medium
466,29,low
467,33,medium
468,43,medium
469,43,high
470,38,high
471,56,medium
472,53,medium
473,50,medium
474,47,low
475,54,high
476,40,high
477,27,medium
478,22,medium
479,53,low
480,51,medium
481,48,low
482,27,high
483,36,low
484,49,medium
485,18,high
486,22,medium
487,62,low
488,21,low
489,33,low
490,41,medium
491,33,low
492,19,medium
493,45,high
494,49,low
495,44,high
496,37,high
497,41,low
498,29,high
499,52,medium
500,50,high
501,50,medium
502,60,medium
503,54,medium
504,29,high
505,20,medium
506,18,medium
507,50,high
508,57,low
509,27,low
510,60,low
511,61,medium
512,46,low
513,30,high
514,29,low
515,48,medium
516,63,low
517,19,high
518,52,high
519,40,medium
520,34,high
521,43,low
522,25,high
523,46,low
524,43,high
525,27,low
526,43,medium
527,51,medium
528,58,low
529,24,low
530,21,low
531,62,medium
532,28,medium
533,46,low
534,53,medium
535,42,low
536,38,high
537,53,low
538,27,low
539,54,low
540,26,medium
541,41,high
542,52,medium
543,52,low
544,53,medium
545,35,medium
546,56,low
547,49,medium
548,41,high
549,40,low
550,49,medium
551,54,medium
552,29,medium
553,30,low
554,40,low
555,42,high
556,52,high
557,58,medium
558,47,medium
559,34,medium
560,37,medium
561,42,medium
562,39,low
563,30,high
564,36,medium
565,53,high
566,29,low
567,58,low
568,36,low
569,29,medium
570,26,high
571,24,low
572,45,high
573,31,medium
574,48,high
575,36,low
576,64,high
577,33,medium
578,22,low
579,52,low
580,29,high
581,42,high
582,38,low
583,53,medium
584,40,high
585,33,high
586,56,high
587,62,medium
588,59,medium
589,56,medium
590,31,medium
591,48,medium
592,22,medium
593,52,low
594,40,high
595,46,medium
596,60,medium
597,28,medium
598,35,medium
599,64,low
600,29,low
601,26,low
