ID,Target
286,0
6374,0
1160,0
701,1
4084,1
2261,0
2281,0
1745,1
9463,1
255,0
10862,0
8726,0
10466,0
907,0
7023,0
5092,0
10140,1
9240,0
5544,1
8286,0
8722,1
8659,1
3859,1
3011,0
8870,0
6991,0
35,0
10925,1
9,0
6257,0
7444,0
1045,0
2681,1
9058,1
1225,1
11084,1
6932,1
1055,0
6024,1
6215,0
7419,0
11110,0
7960,1
8254,0
4310,1
8953,0
8420,0
6605,1
3050,0
7574,0
9624,1
9483,0
5176,0
11114,0
2005,0
5237,0
1378,1
8462,0
4459,0
1044,1
7187,1
2114,1
1351,1
7393,0
6287,0
1362,1
7342,1
9847,1
3340,0
8625,0
4769,0
1619,1
313,1
2811,0
5177,0
3635,0
2337,0
4856,1
9931,0
5209,1
5049,0
8008,0
10319,1
9507,0
8146,0
8082,0
4686,1
1321,0
123,1
6202,1
4328,0
2066,0
10469,1
326,0
10341,0
3520,1
9166,1
9400,1
10057,1
3921,0
7532,0
1966,1
3153,0
5314,0
2631,1
8397,0
5871,0
451,0
5396,1
3798,0
4713,0
9097,0
663,0
7627,1
1458,0
8812,0
3066,0
5675,0
3267,0
2521,0
1626,0
8629,0
2980,0
2694,0
10951,0
6663,0
3967,1
10383,1
10172,1
5313,0
7244,0
5231,0
5080,1
4096,0
7042,0
8310,1
10837,0
7530,0
4050,0
8920,1
1388,0
5721,1
5250,1
5512,0
73,0
3645,0
5029,0
4271,0
2150,1
577,0
9905,0
4279,0
10001,0
8213,0
5723,0
5441,0
3032,0
4141,1
231,0
10983,1
1461,0
5156,1
10313,0
10785,0
8746,1
1384,0
2173,0
5868,0
3386,0
3266,0
1584,0
10613,0
3547,0
4865,0
5866,0
1994,0
5294,0
1448,0
9971,0
6245,0
5847,1
3334,1
1987,0
3469,0
6583,1
10470,0
9298,1
5718,1
10432,0
8346,0
4843,1
8093,0
8416,0
5229,0
405,0
10356,0
2948,0
7275,0
851,0
5286,0
749,0
3033,0
3308,0
5376,1
1081,0
9396,0
10250,0
11013,1
9738,0
2945,0
10245,0
1463,0
3673,1
8235,1
448,1
5899,0
5585,0
7326,0
5687,1
933,0
5956,0
1031,1
8360,0
5424,0
5628,1
6918,0
5824,0
4470,0
10236,0
807,0
10971,0
7119,0
5802,0
4201,0
4198,0
3174,1
1630,0
4098,0
6720,0
11171,0
3584,1
2131,1
2525,1
10286,1
10061,1
8614,1
10264,0
9733,0
8692,0
7453,0
10623,0
2544,0
2589,0
5758,1
8939,1
9635,0
9323,1
10128,1
5633,0
10277,0
9303,0
8933,0
5423,0
3697,0
1165,0
10755,0
2712,1
4432,0
9349,1
241,1
6919,0
3955,0
3130,0
24,0
2225,1
7947,0
3376,0
4331,1
3152,0
10710,0
5046,1
1627,1
10972,1
8977,0
2747,1
9370,1
988,1
7274,1
6798,0
10473,0
640,1
3524,0
7592,0
6853,1
9559,1
1726,0
6941,0
2406,0
6810,1
4168,0
5370,0
8842,0
4637,1
9723,1
8957,1
4702,1
3381,0
5290,0
6466,0
1544,1
7527,0
1618,1
9595,1
2634,0
2258,0
425,0
4749,0
3968,1
4278,1
10641,0
6055,1
2308,0
4290,0
983,0
10839,0
7761,0
3433,1
4138,1
8036,0
3665,0
48,0
4483,1
9862,0
8624,1
175,1
1307,0
9491,0
7892,0
6988,1
873,1
6327,1
8230,0
2942,1
2415,0
10995,0
2930,1
5763,0
6218,0
7679,0
4070,1
6974,1
10868,1
8686,0
6263,0
3565,0
10156,1
3710,0
4915,1
7422,0
9365,1
8140,0
10637,0
2995,1
868,0
1993,1
10164,1
544,1
500,1
922,0
3726,0
10163,1
7706,1
4122,1
5883,1
955,0
10846,0
10323,0
2174,0
10897,1
9829,0
8975,0
8969,1
3091,1
2565,1
10270,0
2278,0
1272,1
1890,0
1839,0
9392,0
3099,0
7712,1
2863,0
8026,1
9817,1
11025,0
9743,1
528,1
6504,0
3537,0
1650,1
2874,0
1050,0
4478,0
5147,1
1184,0
7414,0
10704,1
232,0
4248,1
5204,1
4855,0
10151,1
9500,0
8724,0
6885,0
4440,0
7141,0
9855,1
6262,1
6931,1
9140,0
4931,1
6141,0
9923,0
2315,0
6255,0
7786,0
11003,0
295,1
11086,0
1729,1
5268,0
4368,0
4552,0
10735,0
5684,0
9384,0
1834,0
9080,0
10708,0
7458,0
11071,1
10678,0
5790,0
6606,1
1631,1
1672,0
